metabolite,super_pathway,sub_pathway,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*,Lipid,Phosphatidylcholine (PC),0.00637779,0.00428017,0.01118667,0.00298275,0.00373435,0.00572472,0.00259007,0.01470701,0.00699743,0.00573811,0.00349856,0.00903523,0.01526383,0.00410702,0.00253053,0.00269444,0.00366494,0.01306164,0.00676035,0.00172888,0.00216304,0.00267331,0.00237764,0.00133395,0.011557,0.00587623,0.00497786,0.01408617,0.00986268,0.01067708
1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*,Lipid,Phosphatidylethanolamine (PE),0.00289632,0.00231295,0.00429335,0.00206102,0.00204135,0.00363447,0.00167662,0.0051535,0.00242846,0.00295514,0.00254802,0.0035016,0.00602311,0.00271345,0.00187112,0.0019484,0.00250585,0.00592904,0.00522314,0.0014803,0.00206453,0.00249469,0.00205433,0.001322,0.0058652,0.00561646,0.00411358,0.00717802,0.00573846,0.00573888
1-palmitoleoyl-2-oleoyl-GPI (16:1/18:1)*,Lipid,Phosphatidylinositol (PI),0.00410409,0.00459535,0.00420758,0.00420009,0.00472525,0.00544125,0.00565076,0.00535545,0.00409798,0.00601125,0.00578734,0.0063041,0.0032173,0.00482233,0.00379784,0.00349685,0.00477401,0.00459603,0.00457148,0.00314546,0.00352523,0.00375126,0.00309754,0.00312603,0.00263086,0.00156476,0.00336498,0.00294344,0.0033707,0.00269556
1-palmitoleoyl-GPC (16:1)*,Lipid,Lysophospholipid,0.00275851,0.002189,0.00969067,0.00076978,0.0011007,0.00255496,0.00146746,0.00927308,0.00340417,0.00395454,0.00147328,0.00588603,0.02611771,0.00182788,0.00146635,0.0006018,0.00085444,0.01557645,0.00391231,0.00037374,0.00049739,0.00087688,0.0030273,0.0013376,0.01301845,0.00749807,0.00186803,0.0082191,0.00662279,0.01093969
1-palmitoleoylglycerol (16:1)*,Lipid,Monoacylglycerol,0.00897083,0.00563341,0.00558497,0.00290293,0.00479484,0.00228171,0.00484237,0.00511038,0.00429687,0.00268514,0.00282142,0.00782099,0.00157969,0.00471513,0.00181997,0.00279101,0.00327554,0.00142501,0.00268145,0.00342935,0.00314886,0.00190844,0.00404872,0.00521204,0.00089899,0.00296742,0.00121629,0.00232901,0.00130308,0.00079937
1-palmitoyl-2-oleoyl-GPA (16:0/18:1),Lipid,Phosphatidic acid (PA),0.00463304,0.00204558,0.00140537,0.00375489,0.00178656,0.00509644,0.00217692,0.00637945,0.00277061,0.00469567,0.00396227,0.00521753,0.00281964,0.00356551,0.00254425,0.00191525,0.00191018,0.00433772,0.00375004,0.0034414,0.00354647,0.00321989,0.00343296,0.00375137,0.0029575,0.00281326,0.00446682,0.00359932,0.00351564,0.00353613
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phosphatidylcholine (PC),0.00503756,0.00442669,0.00997594,0.00222834,0.00329476,0.0037934,0.00158806,0.01020929,0.00450556,0.00394006,0.00246821,0.00689063,0.0091545,0.00234023,0.00129288,0.00133085,0.00179733,0.00859767,0.00392126,0.00085684,0.0011483,0.00144243,0.00119124,0.00076036,0.00823149,0.00629199,0.00267658,0.00820869,0.00601827,0.00667273
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Lipid,Phosphatidylethanolamine (PE),0.00438417,0.00396189,0.00588606,0.00325589,0.00360676,0.00521633,0.00352613,0.00643467,0.00438565,0.00544424,0.00463138,0.00605734,0.00653466,0.00416062,0.00299387,0.00308818,0.00345536,0.00609475,0.00676988,0.00236268,0.00350502,0.00392414,0.00295949,0.00247913,0.0061261,0.00345675,0.00482577,0.00707392,0.00552986,0.00523891
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Lipid,Phosphatidylinositol (PI),0.00445999,0.00476224,0.00402328,0.00435381,0.0047094,0.00535342,0.00514716,0.00441086,0.00378235,0.00495941,0.00531277,0.00537904,0.00265073,0.00454054,0.00371741,0.0040858,0.00441148,0.00367775,0.00374542,0.00312192,0.00316601,0.00333415,0.00315596,0.00295883,0.00235348,0.00231142,0.00335755,0.00267717,0.00310289,0.00238949
1-palmitoyl-2-oleoyl-GPS (16:0/18:1),Lipid,Phosphatidylserine (PS),0.00511338,0.00442669,0.00511084,0.00388555,0.00454818,0.00499839,0.00488524,0.00856332,0.00602663,0.00793256,0.00643284,0.00853109,0.00739689,0.00549783,0.00361547,0.00389391,0.0044152,0.00682874,0.00767274,0.00318593,0.00414774,0.00497815,0.00339421,0.00300959,0.00793799,0.00211575,0.00556124,0.00813461,0.00674237,0.00518925
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Lipid,Phosphatidylcholine (PC),0.00472893,0.00258563,0.00755358,0.00191617,0.00221842,0.00330453,0.00149619,0.00772607,0.00401813,0.00325058,0.00186285,0.00515757,0.00838653,0.0020809,0.00128102,0.00143074,0.00179816,0.0064616,0.00329702,0.0008953,0.00108868,0.00135112,0.00124725,0.00066548,0.00537011,0.00996883,0.00247717,0.00611833,0.00416892,0.00466746
1-palmitoyl-GPC (16:0),Lipid,Lysophospholipid,0.00088754,0.00282157,0.00917123,0.00117654,0.00076937,0.00092477,0.00093748,0.0059737,0.00235756,0.0007787,0.00093969,0.0041024,0.00554566,0.00078428,0.00073762,0.00082479,0.00082261,0.00520289,0.00057458,0.00057122,0.00050916,0.00049644,0.00060243,0.00066017,0.00181537,0.0063793,0.00049296,0.00097841,0.00193507,0.00254774
1-palmitoyl-GPE (16:0),Lipid,Lysophospholipid,0.00441941,0.00690564,0.01282378,0.0012203,0.00605561,0.00158604,0.00360528,0.01360794,0.00809997,0.00242766,0.00513711,0.01600294,0.00208127,0.00339644,0.00076505,0.00085546,0.0008532,0.00760132,0.00269184,0.00059247,0.00052809,0.0005149,0.00062484,0.00068472,0.0003779,0.00648522,0.0008078,0.00041323,0.00193507,0.00177572
1-palmitoyl-GPI (16:0),Lipid,Lysophospholipid,0.00436187,0.0062257,0.00213436,0.0027569,0.00716636,0.00675544,0.00662121,0.00411709,0.00555419,0.00474302,0.00482499,0.00729687,0.0005389,0.00564247,0.00333599,0.00517502,0.00380962,0.00031345,0.00204912,0.00143696,0.00410194,0.0026768,0.00577912,0.00266391,0.0008468,0.00367623,0.00289828,0.00065508,0.00202428,0.00061671
1-palmitoyl-GPS (16:0)*,Lipid,Lysophospholipid,0.00450682,0.00309426,0.00351418,0.00083718,0.00374131,0.00339933,0.00371975,0.00672254,0.00703923,0.00491089,0.00367894,0.01043831,0.00090599,0.00558887,0.00141409,0.00178883,0.00205858,0.00067884,0.00389296,0.00048023,0.00292115,0.00236746,0.00352802,0.00093652,0.00062874,0.00619889,0.00373185,0.00013274,0.00422368,0.00128453
1-stearoyl-2-oleoyl-GPC (18:0/18:1),Lipid,Phosphatidylcholine (PC),0.0069897,0.0070411,0.01361208,0.00337414,0.00505542,0.00666343,0.00262163,0.00804434,0.00417898,0.00391306,0.00317982,0.0067132,0.00548164,0.00373183,0.00146932,0.001272,0.00216978,0.00556364,0.00457985,0.00077704,0.0014149,0.00149432,0.00130114,0.00076102,0.00547466,0.00544063,0.00354606,0.00738123,0.00478292,0.00644578
1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid,Phosphatidylethanolamine (PE),0.0013768,0.00231782,0.00263069,0.00182512,0.00186002,0.0017301,0.00145426,0.00522764,0.00298535,0.00377337,0.00249702,0.00337108,0.0045113,0.00121662,0.00153381,0.00127946,0.00127607,0.00499277,0.0023188,0.00088611,0.0017291,0.0026052,0.00093453,0.0010241,0.00547429,0.00094233,0.00323369,0.00447283,0.00454858,0.0027799
1-stearoyl-2-oleoyl-GPI (18:0/18:1)*,Lipid,Phosphatidylinositol (PI),0.00445999,0.00497649,0.00366898,0.00444722,0.0051718,0.00557276,0.00546986,0.00508619,0.00422509,0.0054822,0.00609474,0.00579059,0.002893,0.00514353,0.00395055,0.00418652,0.00529072,0.0041305,0.00392732,0.00281995,0.00325505,0.0035215,0.00324981,0.00317944,0.00278704,0.00127507,0.00428277,0.00301912,0.00388234,0.00267928
1-stearoyl-GPC (18:0),Lipid,Lysophospholipid,0.00437748,0.00444396,0.00762262,0.00219464,0.00343897,0.00408338,0.0017487,0.00601775,0.00392128,0.00295671,0.00391788,0.00582648,0.00298308,0.00146294,0.00167504,0.0015385,0.00153443,0.00362493,0.00107177,0.00119899,0.00094975,0.00092603,0.00112374,0.00123144,0.00067964,0.00413137,0.00091952,0.00074317,0.00220831,0.0025479
1-stearoyl-GPI (18:0),Lipid,Lysophospholipid,0.00640098,0.00963514,0.00160001,0.0033836,0.01119918,0.00980252,0.01283399,0.00629445,0.006785,0.00709868,0.00614338,0.0096866,0.00043337,0.00965254,0.00611153,0.0103376,0.01377596,0.00051109,0.00223362,0.00395981,0.00529322,0.00440961,0.01222607,0.00314992,0.00118132,0.00247168,0.00327159,0.00102486,0.00305084,0.00084121
2'-deoxyadenosine,Nucleotide,Purine Metabolism_ Adenine containing,0.00160337,0.0015914,0.00109333,0.00212547,0.00138989,0.00167062,0.00169358,0.0011152,0.00286746,0.00252158,0.00169758,0.00185664,0.00115662,0.00370306,0.00189595,0.00214569,0.00148606,0.00221182,0.00364292,0.00287047,0.00348148,0.00552797,0.0051782,0.00400416,0.00406979,0.00137611,0.00312148,0.00322273,0.00463605,0.00253553
2'-O-methylcytidine,Nucleotide,Pyrimidine Metabolism_ Cytidine containing,0.00186428,0.00185036,0.00127125,0.00247133,0.00161607,0.00194247,0.00196917,0.00175702,0.00366446,0.00163566,0.00251307,0.00170491,0.00134483,0.00262832,0.00351762,0.00173247,0.00302132,0.00286773,0.00195327,0.00363373,0.00367286,0.00414293,0.00306333,0.00444206,0.00313565,0.00127598,0.00445345,0.00283774,0.00406269,0.00292235
2'-O-methyluridine,Nucleotide,Pyrimidine Metabolism_ Uracil containing,0.00153959,0.00263078,0.00171314,0.00204092,0.00295454,0.00160417,0.00162621,0.00107084,0.00209093,0.00135079,0.00163005,0.00140798,0.00111061,0.00136047,0.00160646,0.00143074,0.00142695,0.00162701,0.00174509,0.00165942,0.00343133,0.0027716,0.00172829,0.00232387,0.00111137,0.00370279,0.00223193,0.00147332,0.00248289,0.00098823
"2,3-dihydroxyisovalerate",Xenobiotics,Food Component/Plant,0.00110117,0.00112659,0.00154709,0.00205688,0.00162573,0.00250616,0.00092381,0.00069425,0.00137493,0.00114105,0.00116729,0.00071337,0.00143395,0.00176522,0.00191671,0.00183774,0.00177708,0.00144155,0.00184586,0.00200273,0.00197728,0.00177971,0.00153605,0.00153432,0.00185382,0.00625994,0.00210163,0.00201949,0.00196623,0.00178955
2-aminoadipate,Amino Acid,Lysine Metabolism,0.00214793,0.0021319,0.00146467,0.00284736,0.00186196,0.00223803,0.00296223,0.00235325,0.00458713,0.00279353,0.00227414,0.0022376,0.00450036,0.0036668,0.00474341,0.00473237,0.00372901,0.00310426,0.00541053,0.00611036,0.00553322,0.00505673,0.00359068,0.00479803,0.00358825,0.00166763,0.00424165,0.00341814,0.00444177,0.00392767
2-aminobutyrate,Amino Acid,Glutathione Metabolism,0.00343197,0.00304999,0.00209725,0.00490306,0.00301021,0.00295135,0.00317187,0.00250711,0.00228204,0.00272232,0.00332715,0.00360234,0.00251593,0.00266064,0.00370666,0.00320589,0.00338136,0.00245067,0.00294852,0.00205956,0.00232423,0.00239989,0.00185998,0.00251363,0.00162788,0.00651819,0.00213903,0.00195562,0.00221527,0.00164205
2-hydroxyglutarate,Lipid,Fatty Acid_ Dicarboxylate,0.00446579,0.00360554,0.00600497,0.00420009,0.00356269,0.00338678,0.00509581,0.00389126,0.00590758,0.00567863,0.00695935,0.00407874,0.00817355,0.0073064,0.00806939,0.00793329,0.00732119,0.00847519,0.00913256,0.00843028,0.00782265,0.0073708,0.00820793,0.01018291,0.00656113,0.00189047,0.01221812,0.00712497,0.00852051,0.01097892
2-isopropylmalate,Xenobiotics,Food Component/Plant,0.00289141,0.00248869,0.00275234,0.00492198,0.00442717,0.00529859,0.00572943,0.00484174,0.00663107,0.00653364,0.00692771,0.00407874,0.00619748,0.00899635,0.01028819,0.00999318,0.00805864,0.00676692,0.00611099,0.0086447,0.00787152,0.0063355,0.00672788,0.00588018,0.00556785,0.00241887,0.00706611,0.00629691,0.00611251,0.00537159
2-ketogluconate,Xenobiotics,Food Component/Plant,0.00215685,0.00114032,0.00096013,0.00304837,0.00146567,0.00108695,0.00359538,0.00103424,0.00138848,0.00322162,0.00382108,0.0043202,0.00496011,0.0028171,0.00324073,0.00697546,0.00388898,0.0019332,0.00965084,0.00318765,0.00418433,0.00711909,0.00723495,0.0142146,0.01812363,0.000714,0.01322187,0.02264182,0.01766683,0.02237089
2-methylcitrate/homocitrate,Energy,TCA Cycle,0.00082465,0.0007304,0.0008327,0.00107367,0.00136708,0.00134021,0.00476228,0.00340144,0.00439458,0.00410128,0.00524336,0.00367291,0.00293289,0.00498983,0.00456586,0.00504529,0.00455988,0.00389687,0.00521362,0.00456978,0.0055432,0.00559433,0.00493148,0.00621557,0.00385465,0.00307457,0.00460753,0.00437392,0.00435527,0.00297868
2-oxoarginine*,Amino Acid,Urea cycle_ Arginine and Proline Metabolism,0.00091876,0.0010509,0.0006265,0.00121793,0.00079643,0.0015326,0.00097045,0.00104385,0.00296229,0.00277358,0.00097274,0.00134109,0.00379963,0.00385913,0.0044124,0.00175278,0.00250998,0.00292606,0.00059479,0.00285497,0.00257241,0.00372781,0.00307181,0.00068339,0.0027409,0.00062883,0.0022515,0.00496393,0.00196855,0.00172639
2-palmitoleoyl-GPC (16:1)*,Lipid,Lysophospholipid,0.00332091,0.00190613,0.00907573,0.00091167,0.00090121,0.00483109,0.00141564,0.00822085,0.00357481,0.00336993,0.0018926,0.00600391,0.06779204,0.00281552,0.00158534,0.00081028,0.00289566,0.02689528,0.00401307,0.00044263,0.00072024,0.00074741,0.00136622,0.00057027,0.02538545,0.01593756,0.00317003,0.01538191,0.00960822,0.01065852
3-carboxyadipate,Lipid,Fatty Acid_ Dicarboxylate,0.00424636,0.00438907,0.00221495,0.00481378,0.00346874,0.00489569,0.00468125,0.00283035,0.00333989,0.00446989,0.00432445,0.00357624,0.00236568,0.0042623,0.00388087,0.00413885,0.00440528,0.00277544,0.00264969,0.00312537,0.00235851,0.00296244,0.00380199,0.00241477,0.00258161,0.0032681,0.00221186,0.00207074,0.00220095,0.00147762
3-dehydroshikimate,Xenobiotics,Food Component/Plant,0.00424368,0.00275872,0.00405278,0.00679262,0.00288263,0.00510062,0.00494459,0.00350474,0.00777858,0.00609068,0.00472204,0.00285879,0.01223185,0.00941765,0.00902534,0.00872658,0.00891804,0.00694918,0.00712069,0.01214007,0.00955993,0.01054429,0.00822095,0.00593027,0.00940438,0.00113007,0.00770646,0.01120499,0.00650049,0.00685133
3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,0.00433065,0.00548556,0.0065603,0.00591228,0.00433593,0.00529859,0.00099306,0.00080468,0.00132189,0.00164075,0.00129715,0.00079005,0.00122515,0.00149565,0.00136257,0.00175485,0.00188662,0.00123114,0.00143066,0.00149322,0.00145507,0.00141099,0.00127389,0.00129613,0.00108611,0.03266115,0.00136071,0.00092896,0.00101185,0.00103105
3-hydroxyanthranilate,Amino Acid,Tryptophan Metabolism,0.00194277,0.00192827,0.00569993,0.00257539,0.00183373,0.00202426,0.00205208,0.0030689,0.00465141,0.00197453,0.00205692,0.0017767,0.00140146,0.0032723,0.00266286,0.0031143,0.00180064,0.00126423,0.00224171,0.00290118,0.00196168,0.00324359,0.00378928,0.00277737,0.00355859,0.00132971,0.004421,0.00399273,0.00493463,0.00296501
3-hydroxykynurenine,Amino Acid,Tryptophan Metabolism,0.00248377,0.00379545,0.00241415,0.00386309,0.00433399,0.00338307,0.00449046,0.0023092,0.00468715,0.00369941,0.00564568,0.00409465,0.00229908,0.00445147,0.00554738,0.00412849,0.00443298,0.00248695,0.00544489,0.00516368,0.00628442,0.00630357,0.00471472,0.0069693,0.00417085,0.00010684,0.00576387,0.00500918,0.00530326,0.00393435
3-ketosphinganine,Lipid,Sphingolipid Metabolism,0.0017666,0.00154624,0.00151455,0.0022715,0.00177419,0.00205447,0.00535586,0.00567341,0.0058998,0.00621316,0.00623263,0.00725486,0.00314716,0.00438053,0.00498508,0.0053864,0.00463263,0.00406404,0.00341655,0.00349192,0.00336839,0.00350104,0.00407626,0.00358119,0.00280571,0.00244085,0.00364441,0.00188895,0.00306283,0.00225892
4-hydroxyphenylpyruvate,Amino Acid,Tyrosine Metabolism,0.00058649,0.00058211,0.00097929,0.00077747,0.0005084,0.00061109,0.00276485,0.00127868,0.00261035,0.00261666,0.003041,0.00242522,0.00042308,0.00302361,0.00307393,0.00418983,0.0041337,0.00136523,0.00480622,0.00543552,0.00419303,0.00602342,0.00620567,0.00549336,0.00257923,0.00040142,0.0039382,0.00379973,0.00446228,0.00275238
"5,6-dihydrouridine",Nucleotide,Pyrimidine Metabolism_ Uracil containing,0.00194723,0.00193269,0.00189744,0.0025813,0.00203323,0.00202891,0.00205679,0.0014068,0.00174417,0.00170844,0.00239266,0.00178078,0.00170453,0.00205213,0.00269177,0.00186385,0.00213588,0.00182814,0.00218136,0.00282196,0.00302324,0.00160284,0.00132172,0.0025279,0.00202244,0.00773892,0.00318043,0.00195863,0.00200125,0.002839
5-oxoproline,Amino Acid,Glutathione Metabolism,0.00139464,0.001359,0.00105471,0.00158331,0.00150704,0.0021423,0.00135204,0.00085121,0.00128183,0.0010804,0.00123434,0.00069543,0.00075574,0.00130293,0.00145116,0.0017192,0.00142613,0.000781,0.00161516,0.00189422,0.00264533,0.00249469,0.00173949,0.00187469,0.00244374,0.00341615,0.00190742,0.00292503,0.00180291,0.00210458
6-oxopiperidine-2-carboxylate,Amino Acid,Lysine Metabolism,0.00189996,0.00181494,0.00253033,0.00302886,0.0027562,0.00404434,0.00697076,0.00310209,0.00884768,0.00704155,0.00390655,0.00217315,0.00307316,0.00687091,0.00483422,0.00694023,0.00414817,0.00734563,0.01186367,0.00405942,0.01050687,0.01029482,0.00335032,0.00420487,0.00275903,0.00171036,0.00419409,0.00666389,0.00417337,0.0081974
6-phosphogluconate,Carbohydrate,Pentose Phosphate Pathway,0.00226791,0.00136077,0.00133907,0.00775869,0.00224548,0.00688463,0.00215808,0.00248477,0.00331395,0.01373054,0.00197854,0.00118895,0.02538674,0.00529093,0.00358137,0.00410114,0.0033454,0.00476494,0.00382771,0.00537667,0.00293394,0.01041506,0.01264505,0.00211587,0.0071018,0.0011609,0.00247717,0.00797665,0.00220792,0.00227846
acetyl CoA,Lipid,Fatty Acid Metabolism,0.00336239,0.00391939,0.00251664,0.0019948,0.00531987,0.00156792,0.00495967,0.00295164,0.00211341,0.00183875,0.00578828,0.00405468,0.00239142,0.00445975,0.00449432,0.00478128,0.00329249,0.00289385,0.00329153,0.00340581,0.00256602,0.00335086,0.00278996,0.0039272,0.00453228,0.00102994,0.00206571,0.00411846,0.0022561,0.00167347
acetylphosphate,Energy,Oxidative Phosphorylation,0.00797313,0.00922124,0.00184513,0.00101218,0.01054579,0.00113388,0.00745835,0.01351674,0.00605891,0.00147483,0.0079217,0.00481088,0.0005508,0.00912049,0.00813129,0.00626216,0.00854146,0.00274583,0.00239936,0.00788173,0.00209268,0.00198452,0.0031042,0.00100552,0.00089532,0.00553648,0.00092027,0.00041063,0.00506118,0.00064764
adenine,Nucleotide,Purine Metabolism_ Adenine containing,0.00445866,0.00356305,0.00274383,0.00392457,0.00330482,0.00515871,0.0035902,0.0038072,0.00392849,0.00426993,0.0051848,0.00399146,0.0032173,0.00386188,0.00295346,0.00341893,0.00294733,0.00410409,0.00140121,0.00325425,0.00207656,0.00322663,0.00257593,0.00198549,0.00264349,0.00334228,0.00236743,0.00204812,0.00228822,0.00158344
adenosine,Nucleotide,Purine Metabolism_ Adenine containing,0.00785628,0.00602074,0.00320366,0.00176836,0.00558818,0.00221107,0.00518202,0.01168309,0.00656074,0.00282132,0.00363597,0.00701217,0.00102117,0.00296765,0.00221065,0.00156544,0.00203171,0.00288862,0.00229224,0.00174094,0.00181584,0.00114656,0.00131657,0.00176322,0.0009898,0.00721052,0.00128416,0.00095118,0.00097702,0.00071878
